"","V1","V2","V3","V4"
"1",0,0,20.315555719299,97.1877843787698
"2",0,0.01,21.11545602907,112.11825703068
"3",0,0.02,20.5587191691145,94.0698247871739
"4",0,0.03,19.164956986117,81.1425171594156
"5",0,0.04,20.0519262978095,99.3698195340624
"6",0,0.05,19.804066985635,98.6663700394192
"7",0,0.06,21.1696972673515,135.750626849284
"8",0,0.07,20.2849342090925,80.6134992058408
"9",0,0.08,20.573030261626,94.4309823440333
"10",0,0.09,21.1371531307125,108.521648816365
"11",0,0.1,19.977569958719,103.690126242848
"12",0,0.11,20.9232376147635,95.2889482040818
"13",0,0.12,20.767162628988,119.18243594425
"14",0,0.13,20.532857878867,107.570899866415
"15",0,0.14,20.615399888462,100.339493943641
"16",0,0.15,21.262307613736,100.684967967347
"17",0,0.16,21.154926612867,88.5930633168217
"18",0,0.17,19.424026045224,74.8347624645335
"19",0,0.18,20.374251677674,70.9422606032079
"20",0,0.19,21.0196539392055,117.711129306731
"21",0,0.2,20.5087212195615,85.2753595654755
"22",0,0.21,21.065771585815,89.5744744132764
"23",0,0.22,19.780442627027,84.6830232257734
"24",0,0.23,20.7184138947905,103.475889001023
"25",0,0.24,19.751156879022,86.8579547766388
"26",0,0.25,20.8452073906405,103.031022226575
"27",0,0.26,21.4770951017905,136.481182397085
"28",0,0.27,20.0318288968105,93.6817338788893
"29",0,0.28,20.2202850515525,106.060853863469
"30",0,0.29,19.6784374428885,82.656542971079
"31",0,0.3,20.646925575245,95.0731869990973
"32",0,0.31,20.0541105997445,88.1114319303746
"33",0,0.32,19.146679918849,83.3841926843773
"34",0,0.33,19.67431251563,79.8513629782606
"35",0,0.34,20.716566435977,109.185611456332
"36",0,0.35,19.3722242294005,88.9477472748863
"37",0,0.36,19.5723550413645,106.316763798771
"38",0,0.37,18.815622822172,60.8970771026462
"39",0,0.38,19.1978125389515,75.1725865008679
"40",0,0.39,19.581383895641,92.1477437147564
"41",0,0.4,18.8012625298705,63.3551915521226
"42",0,0.41,19.709063400147,87.1659889594127
"43",0,0.42,18.6176310745795,72.2329567569273
"44",0,0.43,19.329560941317,106.371770092196
"45",0,0.44,18.478294904185,66.4986293449783
"46",0,0.45,18.646878861391,59.6271695193213
"47",0,0.46,19.8702635508005,75.8345193104297
"48",0,0.47,19.200645833708,104.042294005858
"49",0,0.48,18.7160195281735,98.8849415438784
"50",0,0.49,18.940781458396,64.2744194865461
"51",0,0.5,18.302602586648,76.2694827179781
"52",0,0.51,18.483062689845,73.405188288669
"53",0,0.52,19.7040226044575,110.400101899798
"54",0,0.53,19.0942680042245,85.9402437343778
"55",0,0.54,19.103311937797,73.1325737657794
"56",0,0.55,17.1379076595655,62.3887389828219
"57",0,0.56,18.278585965464,60.7834981487731
"58",0,0.57,18.4979329671,61.7866740714385
"59",0,0.58,17.80698136353,73.8573894221082
"60",0,0.59,19.5341059121095,102.152174899534
"61",0,0.6,18.4315231047355,89.9719443725102
"62",0,0.61,18.109077684645,64.0480726432778
"63",0,0.62,17.9727127129845,55.8846675233176
"64",0,0.63,17.6828470691205,58.903966902575
"65",0,0.64,17.361213656545,72.3690771254168
"66",0,0.65,16.3792312008505,50.3788574324833
"67",0,0.66,18.209271000162,82.8168264931607
"68",0,0.67,16.623573929493,59.0703126128191
"69",0,0.68,16.4440130569465,46.6326031702862
"70",0,0.69,17.195861331644,70.6047384127374
"71",0,0.7,16.8124802670405,57.0186374422218
"72",0,0.71,17.512440327532,61.81946580666
